Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Liberia,LBR,3600,3380,5820,6560,7130,8110,8910,9080,9020,9200,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Libia,LBY,105320,111300,115160,117930,109150,102270,84880,86620,96580,103040,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Liechtenstein,LIE,230,240,210,220,230,200,190,190,190,180,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Lituania,LTU,45200,19620,19980,19900,19000,18550,18800,18820,18730,18840,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Luxemburgo,LUX,12200,9400,11830,11580,11050,10560,10050,9770,9920,10220,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,"Región Administrativa Especial de Macao, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Madagascar,MDG,26260,27550,29120,30480,29200,29680,30000,31000,29620,30570,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Malawi,MWI,10920,8760,12440,13120,13960,14900,15820,16190,16950,18320,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Malasia,MYS,90370,166030,263030,265900,282940,296240,297970,294860,289730,306670,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Maldivas,MDV,210,560,1220,1380,1390,1650,1660,2120,2230,2380,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Malí,MLI,15820,22640,32760,33430,34620,35190,36670,41040,42140,43740,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Malta,MLT,2520,2410,2980,3160,2830,2840,2160,1870,2010,2040,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Islas Marshall,MHL,..,130,180,180,180,190,190,220,220,240,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Mauritania,MRT,6720,9150,11220,11670,11670,12150,12830,13250,13920,14080,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Mauricio,MUS,2280,4300,5830,5990,6120,6330,6370,6530,6720,6740,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,México,MEX,392910,531670,664660,659240,652690,645940,670100,682910,678120,679880,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Micronesia (Estados Federados de),FSM,..,200,200,210,220,220,230,260,260,270,..,..
