Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Tayikistán,TJK,4080,4100,4123.6,4147.2,4170.8,4194.4,4218,4218,4218,4218,4228,4238
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Tanzanía,TZA,573900.1,536700.1,495780.08,492060.06,488340.04,484620.02,480900,476210,471520,466830,462140,457450
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Tailandia,THA,193610,189980,200706,200682,200658,200634,200610,200170,199810,199450,199090,198730
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Timor-Leste,TLS,9631,9491,9337,9323,9309,9295,9281,9267,9256,9239,9225,9211
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Togo,TGO,13616.6,12684.64,12359.1,12329.5,12299.9,12270.3,12240.7,12211.1,12181.5,12151.9,12122.3,12092.7
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Tonga,TON,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5,89.5
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Trinidad y Tobago,TTO,2420.6,2366.5,2319.86,2315.62,2311.38,2307.14,2302.9,2298.7,2294.5,2290.3,2286.1,2281.9
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Túnez,TUN,6439.769,6678.5,6889.6,6904.9,6920.2,6935.5,6950.8,6966.1,6981.4,6996.7,7012,7027.3
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Turquía,TUR,197834.8,201483.5,211925.24,213019.68,214114.12,215208.56,216303,216303,217524.6,219083.6,220643.6,222203.6
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Turkmenistán,TKM,41270,41270,41270,41270,41270,41270,41270,41270,41270,41270,41270,41270
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Islas Turcas y Caicos,TCA,105.2,105.2,105.2,105.2,105.2,105.2,105.2,105.2,105.2,105.2,105.2,105.2
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Tuvalu,TUV,10,10,10,10,10,10,10,10,10,10,10,10
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Uganda,UGA,35754.7,31629.5,27091.68,26679.16,26266.64,25854.12,25441.6,25029.1,24616.6,24204.1,23791.5,23379
Área selvática  (kilómetros cuadrados),AG.LND.FRST.K2,Ucrania,UKR,92740,95100,95698,95916,96134,96352,96570,96640,96710,96780,96840,96900
